Název,Typ,Den,Čas od,Čas do,Kdo,Místo,Kdo doprovází,Rytmus,Vzít s sebou,Poznámka
Plavání,Kroužek,Úterý,16:00,17:00,starší dítě,bazén Na Lukách,rodič A,týdně,"plavky, ručník, čepice",ze školy pěšky 15 minut
Keramika,Kroužek,Středa,15:30,17:00,mladší dítě,DDM,rodič B,týdně,staré tričko,
Fotbal trénink,Kroužek,Čtvrtek,17:00,18:30,starší dítě,hřiště u školy,rodič A,týdně,"kopačky, chrániče","kolize s keramikou, pokud se protáhne"
Zubař kontrola,Zdraví,Pondělí,09:30,10:00,oba,ordinace Kollárova,rodič B,jednorázově,kartička pojišťovny,termín 2026-09-14
Třídní schůzky,Škola,Čtvrtek,17:30,19:00,rodič,"škola, třída 3.B",rodič A,jednorázově,,termín 2026-09-24
Velký nákup,Domácnost,Sobota,09:00,10:30,rodina,obchod,rodič B,týdně,nákupní seznam,vychází z jídelníčku na týden
Praní a žehlení,Domácnost,Neděle,18:00,19:00,rodina,doma,rodič A,týdně,,"agenda, ne jednorázový úkol"
Kontrola zásob a drogerie,Domácnost,Pátek,18:00,18:20,rodina,doma,rodič B,týdně,,"co dochází, jde rovnou do seznamu"
Úklid společných prostor,Domácnost,Sobota,11:00,12:00,rodina,doma,rodina,týdně,,
Papíry a platby,Domácnost,Neděle,19:00,19:30,rodič,doma,rodič A,měsíčně,,spolu s měsíční uzávěrkou rozpočtu
Přezutí kol a servis auta,Domácnost,Sobota,,,rodič,servis,rodič B,sezónně,,říjen a duben
Předání dětí,Předávání,Neděle,18:00,18:15,oba,u druhého rodiče,rodič A,týdně,"školní batohy, plavky, nabíječka, léky","shrnutí druhému rodiči piš věcně, bez hodnocení"
