Name,Record type,Project,Owner / assignee,Status,Due,Priority,Area,Last activity,Source,Note
New website and price list,Project,,Jana Dvorakova,Running,2026-10-31,P1,Marketing,2026-08-11,Leadership meeting 2026-08-10,The current site is four years old and cannot be edited.
Supplier invoice automation,Project,,Petr Malek,At risk,2026-09-30,P1,Operations,2026-07-29,Operations meeting 2026-07-28,Three weeks of silence — the drift watcher surfaced this one first.
Company AI policy,Project,,Jana Dvorakova,Waiting on external,2026-09-15,P2,Leadership,2026-08-05,Leadership meeting 2026-08-03,Waiting for the lawyer's take on data classification.
Onboarding for new hires,Project,,Lucie Hruba,New,2026-12-15,P3,HR,2026-08-12,HR meeting 2026-08-12,"An intention so far, the scope is not agreed."
Draft the price list structure,Task,New website and price list,Jana Dvorakova,Running,2026-08-28,P1,Marketing,2026-08-11,Leadership meeting 2026-08-10,
Pick a photographer,Task,New website and price list,Tomas Benes,Waiting,2026-09-04,P2,Marketing,2026-08-10,Leadership meeting 2026-08-10,
Test OCR on 50 invoices,Task,Supplier invoice automation,Petr Malek,Blocked,2026-08-22,P1,Operations,2026-07-29,Operations meeting 2026-07-28,Blocked on access to the accounting system.
Write up the invoice approval loop,Task,Supplier invoice automation,Petr Malek,Waiting,2026-09-05,P2,Operations,2026-07-28,Operations meeting 2026-07-28,
Review the draft policy,Task,Company AI policy,Jana Dvorakova,Done,2026-08-04,P2,Leadership,2026-08-05,Leadership meeting 2026-08-03,
Add data classification to the policy,Task,Company AI policy,external lawyer,Waiting,2026-09-08,P1,Leadership,2026-08-05,Leadership meeting 2026-08-03,"An external deadline — watch it, do not push it."
Prepare the half-day team training,Task,Company AI policy,Lucie Hruba,Waiting,2026-09-19,P3,HR,2026-08-12,HR meeting 2026-08-12,
Find out what people already use,Task,,Lucie Hruba,Running,2026-08-26,P2,HR,2026-08-12,HR meeting 2026-08-12,NEW PROJECT? This looks like a shadow AI inventory.
