Název,Typ záznamu,Projekt,Vlastník / řešitel,Stav,Termín,Priorita,Oblast,Poslední aktivita,Zdroj,Poznámka
Nový web a ceník,Projekt,,Jana Dvořáková,Běží,2026-10-31,P1,Marketing,2026-08-11,Porada vedení 2026-08-10,Původní web má čtyři roky a nejde do něj psát.
Automatizace faktur od dodavatelů,Projekt,,Petr Málek,Riziko,2026-09-30,P1,Provoz,2026-07-29,Porada provozu 2026-07-28,Tři týdny ticho — hlídač skluzu tenhle projekt vytáhl první.
Firemní AI směrnice,Projekt,,Jana Dvořáková,Čeká na externí,2026-09-15,P2,Vedení,2026-08-05,Porada vedení 2026-08-03,Čeká na vyjádření právničky ke klasifikaci dat.
Onboarding nových lidí,Projekt,,Lucie Hrubá,Nový,2026-12-15,P3,HR,2026-08-12,Porada HR 2026-08-12,"Zatím jen záměr, rozsah není domluvený."
Sepsat strukturu ceníku,Úkol,Nový web a ceník,Jana Dvořáková,Běží,2026-08-28,P1,Marketing,2026-08-11,Porada vedení 2026-08-10,
Vybrat dodavatele fotek,Úkol,Nový web a ceník,Tomáš Beneš,Čeká,2026-09-04,P2,Marketing,2026-08-10,Porada vedení 2026-08-10,
Otestovat OCR na 50 fakturách,Úkol,Automatizace faktur od dodavatelů,Petr Málek,Blokováno,2026-08-22,P1,Provoz,2026-07-29,Porada provozu 2026-07-28,Blokuje přístup do účetního systému.
Popsat schvalovací kolečko faktur,Úkol,Automatizace faktur od dodavatelů,Petr Málek,Čeká,2026-09-05,P2,Provoz,2026-07-28,Porada provozu 2026-07-28,
Připomínkovat vzor směrnice,Úkol,Firemní AI směrnice,Jana Dvořáková,Hotovo,2026-08-04,P2,Vedení,2026-08-05,Porada vedení 2026-08-03,
Doplnit klasifikaci dat do směrnice,Úkol,Firemní AI směrnice,externí právnička,Čeká,2026-09-08,P1,Vedení,2026-08-05,Porada vedení 2026-08-03,"Externí termín — hlídat, ne tlačit."
Sepsat půldenní školení pro tým,Úkol,Firemní AI směrnice,Lucie Hrubá,Čeká,2026-09-19,P3,HR,2026-08-12,Porada HR 2026-08-12,
"Zjistit, co lidé používají dnes",Úkol,,Lucie Hrubá,Běží,2026-08-26,P2,HR,2026-08-12,Porada HR 2026-08-12,NOVÝ PROJEKT? Vypadá to na inventuru shadow AI.
