Name,Type,Day,Time from,Time to,Who,Place,Who takes them,Rhythm,What to bring,Note
Swimming,Club,Tuesday,16:00,17:00,older child,Na Lukach pool,parent A,weekly,"swimsuit, towel, cap",15-minute walk from school
Pottery,Club,Wednesday,15:30,17:00,younger child,community centre,parent B,weekly,old T-shirt,
Football practice,Club,Thursday,17:00,18:30,older child,pitch by the school,parent A,weekly,"boots, shin pads",clashes with pottery if it overruns
Dentist check-up,Health,Monday,09:30,10:00,both,Kollarova surgery,parent B,one-off,insurance card,date 2026-09-14
Parents' evening,School,Thursday,17:30,19:00,parent,"school, class 3B",parent A,one-off,,date 2026-09-24
Big shop,Household,Saturday,09:00,10:30,family,supermarket,parent B,weekly,shopping list,comes out of the weekly menu
Laundry and ironing,Household,Sunday,18:00,19:00,family,home,parent A,weekly,,"an agenda, not a one-off task"
Stock and household supplies check,Household,Friday,18:00,18:20,family,home,parent B,weekly,,whatever runs low goes straight on the list
Cleaning the shared rooms,Household,Saturday,11:00,12:00,family,home,family,weekly,,
Paperwork and payments,Household,Sunday,19:00,19:30,parent,home,parent A,monthly,,together with the monthly budget close
Tyre change and car service,Household,Saturday,,,parent,garage,parent B,seasonally,,October and April
Handover,Handover,Sunday,18:00,18:15,both,at the other parent's,parent A,weekly,"school bags, swimsuits, charger, medicines","keep the summary for the other parent factual, no judgement"
